Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C_22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.742000,-148.792000,90.000000,top
"C2","C_22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.842000,-148.792000,90.000000,top
"C3","C_22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.942000,-148.792000,90.000000,top
"C4","C_2.2NF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",151.648000,-153.255000,270.000000,top
"C5","C_2.2NF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",151.648000,-157.530000,270.000000,top
"C6","C_2.2uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.525000,-151.700000,0.000000,top
"C7","C_33uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.570000,-136.334500,180.000000,top
"C8","C_2.2UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.598000,-151.480000,90.000000,top
"C9","C_22pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.881282,-121.281282,315.000000,top
"C10","C__0.1UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.700000,-149.100000,0.000000,top
"C11","C_22pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",151.681282,-117.681282,315.000000,top
"C12","C_22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.700000,-144.700000,270.000000,top
"C13","C_0.1UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.173000,-160.330000,0.000000,top
"C14","C_0.1UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.198000,-158.330000,0.000000,top
"C15","C_2.2UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.598000,-151.480000,90.000000,top
"C16","C_0.1UF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.148000,-150.530000,270.000000,top
"C17","C_0.1UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",163.270000,-148.998000,0.000000,top
"C18","C_0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",188.402000,-150.536000,0.000000,top
"C19","C_470nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",195.302000,-152.536000,270.000000,top
"C20","C_470nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.302000,-152.436000,90.000000,top
"C21","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.800000,-162.800000,90.000000,top
"C22","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",210.439000,-140.208000,0.000000,top
"C23","C","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.792000,-159.531000,0.000000,top
"C24","C","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.842000,-157.431000,180.000000,top
"C25","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.717000,-153.781000,180.000000,top
"C26","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.742000,-147.481000,0.000000,top
"C27","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.742000,-151.681000,180.000000,top
"C28","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.742000,-149.581000,180.000000,top
"C29","C","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.567000,-153.031000,0.000000,top
"C30","C_1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",192.602000,-155.436000,180.000000,top
"C31","C_1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",192.602000,-157.436000,180.000000,top
"C32","C_1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",178.700000,-156.800000,270.000000,top
"C33","CP1_470u","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",182.902000,-164.636000,0.000000,top
"C34","C_1.0uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.950000,-124.360000,90.000000,top
"C35","C_0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",174.540000,-115.350000,270.000000,top
"C36","C_1.0uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.656282,-107.425718,45.000000,top
"C37","C_1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.600000,-162.600000,90.000000,top
"C38","C_10uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",110.900000,-163.000000,90.000000,top
"C39","CP1_10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",177.950000,-124.360000,90.000000,top
"C40","C_1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",179.950000,-124.360000,90.000000,top
"C41","C_0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.950000,-124.360000,90.000000,top
"C42","C_0.1UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",144.286000,-98.425000,180.000000,top
"C43","C_0.1UF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",197.200000,-140.800000,180.000000,top
